port_name,ship_count,category,needs_research
,1907,empty,False
Address,534,likely_real_port,True
Saw,290,ocr_error,False
Neder Kalix,220,likely_real_port,True
Falkenburg,180,likely_real_port,True
G'burg,164,likely_real_port,True
Le Havre,161,likely_real_port,True
Dordt,156,likely_real_port,True
Co.,155,ocr_error,False
Wifstawarf,153,likely_real_port,True
Swartvik,151,likely_real_port,True
Mesane,145,likely_real_port,True
Coruna,144,likely_real_port,True
Langror,96,likely_real_port,True
Mem,92,ocr_error,False
Mediterranean,88,likely_real_port,True
Sapelo,88,likely_real_port,True
W. C. Africa,87,ambiguous,True
La Tremblede,83,likely_real_port,True
Addresses,78,likely_real_port,True
Stocka,74,likely_real_port,True
Nyvik,74,likely_real_port,True
Jacobstad,72,likely_real_port,True
Wanevik,70,likely_real_port,True
Laguna,69,likely_real_port,True
Swartwik,69,likely_real_port,True
Christinestad,68,likely_real_port,True
Orleans,67,likely_real_port,True
Vaasa,61,likely_real_port,True
Sannesund,59,likely_real_port,True
"Bathurst, N.B.",59,likely_real_port,True
Sandvik,57,likely_real_port,True
Christiana,55,likely_real_port,True
Nyland,54,likely_real_port,True
Chatham,54,likely_real_port,True
"Portland, Me.",54,likely_real_port,True
Quebec and Montreal,53,likely_real_port,True
Torefors,52,likely_real_port,True
W.C. Africa,51,likely_real_port,True
Hudiksvall,51,likely_real_port,True
Uddewalla,50,likely_real_port,True
Sweden,49,likely_real_port,True
Puebla,49,likely_real_port,True
Kingston,48,likely_real_port,True
Hernossand,47,likely_real_port,True
Fremantle,47,likely_real_port,True
Swartwick,46,likely_real_port,True
Waterford,45,likely_real_port,True
New Richmond,44,likely_real_port,True
Ahlafors,44,likely_real_port,True
Rouen,44,likely_real_port,True
Home,44,likely_real_port,True
Marseille,44,likely_real_port,True
Fernandina,43,likely_real_port,True
St. Estephe,43,likely_real_port,True
Vefsen,42,likely_real_port,True
Frano,42,likely_real_port,True
Donelan,41,likely_real_port,True
Santa Ana,40,likely_real_port,True
"Newcastle, N.B.",40,likely_real_port,True
Finklippan,40,likely_real_port,True
"West Bay, N.S.",40,likely_real_port,True
Galveston,39,likely_real_port,True
Neder Calix,39,likely_real_port,True
Jacobstadt,38,likely_real_port,True
Norway,37,likely_real_port,True
Arno,37,likely_real_port,True
Bangor,36,likely_real_port,True
Christiansund,36,likely_real_port,True
Carlsvik,36,likely_real_port,True
Brussels,36,likely_real_port,True
Norrköping,36,likely_real_port,True
